Unnamed: 0,Date,Country,Local,Industry_Sector,Accident_Level,Potential_Accident_Level,Gender,Employee_type,Critical_Risk,Description,Cleaned_Description,Original_Description_Length,Cleaned_Description_Length
110,2016-04-23,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 12:20 pm. Approximately in NV 1680 OB5 CX 018, Mr. Cesar - Operator of mine services, in an instant that he was picking up the cat position one of the truck crane of plate ACL 804, when raising with the right hand the lower part of the cat is indexed the index finger of the left hand, between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part.",nv cx cesar operator service instant pick position truck crane plate raise right hand cat indexed index finger leave hand body cylinder valve valve turntable upper,80,26
111,2016-04-22,Country_02,Local_05,Metals,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances,The employee reports that he placed the air lance in the tank 1604 and then opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh.,employee report place lance tank open manual valve projection acid solution heat reach left thigh,35,15
112,2016-04-26,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,injure woman perform clean cleaning sink collection room pierce finger fragment glass,22,12
113,2016-04-28,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn.",sodium hydroxide hose employee place suction pump turn receive projection pump sensor cause degree burn,32,15
114,2016-04-29,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others,"Mr. Jesus operator of the concrete throwing team (alpha N ° 18) was shooting shotcrete in the Cx work. 001 Nv. 1710 OB1. applying 0.5 m3, he realizes that the additive did not come out in the mix, directing to lift the cover of the passage valve (54 Cm x 53 Cm of ¼ inch of thickness approximately 15 Kg). verifying that the valve was open, release the lid and it hits to the third finger of the left hand against the base, causing the injury.",mr concrete throwing team alpha shoot shotcrete work ob apply realize additive come direct lift cover passage valve cm inch thickness verify valve open release hit finger leave hand base cause injury,86,32
115,2016-04-30,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",employee perform return load entrance depart machine align cathode press right hand,27,12
116,2016-04-30,Country_01,Local_01,Mining,I,II,Male,Employee,Others,"The injured worker begins the work of presenting the support mesh cloth on the floor, making an initial cut in the mesh of a section of 0.3 m x 2.0 m for the ponchos, originating in the remaining mesh wicks (tips with prongs) protruding. When trying to make a second mesh cut, it is positioned at the edge of the remaining mesh with wicks to prevent them from curling, at which point it tries take your shear and remove the right foot of the mesh causing the mesh to roll up and embed a wick (tip with poles) through the left boot causing the injury. At the time of the accident the worker was wearing safety boots.",injure worker begin work present support mesh cloth floor make initial mesh section x punch remain mesh pick wrong protrude mesh position edge remain mesh pick prevent curl point shear remove right foot mesh cause mesh roll embed wick leave boot cause injury time accident worker wear safety boot,117,49
117,2016-04-30,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others,"In the DDH chamber of the company Explomin, located at the level -100 Socorro ramp 334, when the worker - assistant driller-was dismantling the fifth drill rod (NQ - 3 meters of steel with a weight of 24 kg) , using a stilson key (No. 18), at that moment the operator operates the rotation unit, the drill rod rotates by pressing the left hand of the worker against the base of the rod holder, causing an injury to the left hand. At the time of the accident, the drilling assistant used rubber gloves",locate level socorro ramp worker assistant drilled drill steel weight wilson moment operator operate rotation unit drill rotate press left hand worker base holder cause injury leave hand time accident drill assistant rubber glove,93,34
118,2016-05-01,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others,"When carrying out the maneuver to increase the HQ pipe line, the driller Wilder indicates the assistant Gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller Without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.",carry maneuver increase pipe line drill wider indicate assistant hilton introduce inner pipe drill assistant introduce inner pipe place hand pipe drill noticing move pipe assistant hand open chuck rotation unit dropping pipe injure person right hand cause injury,74,39
119,2016-05-02,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,employee report climb access ladder operating room ustulation surprise projection sulfur acid,23,12
120,2016-05-04,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut.",perform geological mapping activity necessary hammer rock analysis moment clerk hold pointed fragment slip right hand cause cut,38,18
121,2016-05-03,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others,"Being 04:20 p.m. approximately, in the Nv. 1880, CX-781. Mr. Kevin helper of Jumbo 55, removed the drill rod that was in the drilling hole, instants that breaks the chain of subjection of the table of the drilling machine, sliding down achieving rubbing the index finger of the left hand, causing the injury.",nv mr helper jumbo remove drill drilling hole instant break chain subsection table drilling machine slide achieve index finger leave hand cause injury,53,23
122,2016-05-04,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 11:30 am. approximately, in the Nv. 1940, CX-791. Mr. Francisco - Operator of the Scoop 18, observes a polyethylene pipe thrown on the road, proceeding to lower his equipment and when was found by lifting the pipe to the hook of the right gable, a piece of rock that was suspended in the lectro-welded mesh, impacting on the operator's right eyebrow, causing the injury.",nv mr francisco operator scoop observe pipe throw road proceed equipment find lift pipe hook right gable piece rock suspend electro weld mesh impacting operator right eyebrow cause injury,65,29
123,2016-05-04,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler.",conduct inspection evaluate activity carry pump house ustulation steam station sulfur acid spill line locate pump house thermal recovery boiler,39,20
124,2016-05-04,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps.",conduct inspection evaluate activity carry pump house ustulation steam station strike sulfur acid spill line locate house thermal recovery boiler pump,38,21
125,2016-05-05,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand.",employee standing piece operation protective disk spin leave hand,30,9
126,2016-05-05,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",die feeder dead blanket weld seam store intruder style blade come direction leave forearm result blunt short injury,32,18
127,2016-05-11,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"In the welding workshop of level 3620 (Ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 Kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder.",weld workshop level tunnel assistant raise wooden strut long diameter weight place work table height read wooden strut place floor lose balance fall level laterally concrete wall cause cruise leave shoulder,72,31
128,2016-05-12,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion.",go medical center accident perform internal work heat exchange define confine space risk burn acid leave confine space employee remove protective glove having pass emergency shower moment skin contact occur sulfate generating lesion,70,33
129,2016-05-11,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap.",truck transport personnel company move surface miss reach mouth gearbox respond driver stop truck inspect personnel time travel truck raise cabin manually change continue trip culminate task driver support personnel cabin weight fall driver cabin hopper truck time accident employee wear safety helmet,124,43
130,2016-05-14,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",complete welding work backlog bucket glass moon elder feel slight discomfort medical service evaluation accident elder facial mask welding,51,19
131,2016-05-17,Country_01,Local_11,Others,I,II,Male,Employee,Others,"When an employee of MILPO Lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. According to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine.",employee mile visit facility level wait personnel cage level drop water fall ceiling height meter product slight filtration crown sustain shotcrete drop enter right cause discomfort right accord employee time accident lense remove clean happen visit interior,92,37
132,2016-05-19,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others,"At the El Porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time of the accident the operators made use of their safety gloves.",station level assemble metal structure support lift system operator structure anchor base moment metallic structure slide direction injure worker right hand produce slight right hand accretion head bolt base structure cause injury time accident operator safety glove,87,37
133,2016-05-18,Country_02,Local_05,Metals,I,III,Male,Employee,Others,"The employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin.",employee perform carbon steel pipe mark activity helmet strike tube cause scalp wound impact helmet sheepskin,29,16
134,2016-05-22,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",b pump projection silicate pulp reach right employee,21,8
135,2016-05-20,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",perform washing table washing area suffer feel dizziness fitness cause fall level produce slight concussion head,39,16
136,2016-05-22,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",transit fuel tanker level level north ramp pass level operator feel right rear tire operator perform defensive maneuver truck leave gable cause injury describe time accident pilot pilot wear safety belt safety glass helmet,69,34
137,2016-05-24,Country_03,Local_10,Others,IV,IV,Male,Third Party,Fall,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care.",field trip return work lunch employee wellfield company slip loose stone place moment intention balancing hold tree fall right cause fracture distal radius activity paralyze employee refer hospital paracatu undergo medical care,72,32
138,2016-05-12,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 10:50 am. Approximately, in the workshop of mechanical maintenance (surface) Mr. Orlando of boltec) and his assistant Mr. Macedonio made the cut of the link to shorten the distance of the chain and hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting the second finger of the left hand causing the injury.",workshop mechanical surface bolt assistant link shorten distance chain hold injection hose resin instant blade leave position affect finger leave hand cause injury,60,23
139,2016-05-25,Country_01,Local_04,Mining,II,III,Male,Employee,Others,"During the tests of the soft starter of the engine of belt 03 the collaborator Igor moves around the site and at approximately 19:45 pm falls into a trench for electric cables, (0.90m deep), the same as was found partially discovered.",test soft starter engine belt igor moves site fall trench electric cable deep find partially discover,41,16
140,2016-05-27,Country_02,Local_02,Mining,I,V,Male,Employee,Others,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",check voltage power outlet plug socket sure connection correct small electrical power cord cause slight burn right hand wrist protection system act,45,22
141,2016-05-25,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The ground team coordinated by Prospector with his assistants: da Silva and Wila 14:45 p.m., in a prong opening to access and collect soil samples, Auxiliar came across some he tried to divert about 10 meters to the right of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any other action since the thugs were already agitated, da Silva 5 times: a sting in the head, another behind the neck and other 3 stings in the face. Since all have allergy tests, it was verified that there was no allergic reaction, washed the affected part and returned to normal activities.",ground team prospector assistant wrong opening access collect soil sample auxiliary came divert meter right place moment diversion came give time action thug agitate silva time head neck sting face allergy test verify allergic reaction wash affect return normal activity,115,40
142,2016-05-26,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",geological activity farm lvaro team compose felipe diving morris normal activity military forest need enter forest verify rock outcrop divine realize open access machine moment take bite neck attack allergic reaction continue work normally work complete leave forest access divine assistant attack snake suffer sting forehead moment move away area verify type allergic reaction return normal activity,125,57
143,2016-05-26,Country_03,Local_10,Others,I,I,Male,Employee,Others,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",geological activity farm lvaro team compose felipe diving morris normal activity military forest need enter forest verify rock outcrop divine realize open access machine moment take bite neck attack allergic reaction continue work normally work complete leave forest access divine assistant attack snake suffer sting forehead moment move away area verify type allergic reaction return normal activity,125,57
144,2016-06-01,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.,clerk feeling pull sheet come strike left hand tear sleeve cause cut,28,12
145,2016-06-02,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",process washing material becker material break cause finger right hand,27,10
146,2016-06-03,Country_01,Local_01,Mining,I,II,Male,Third Party,Others,"In circumstances that the collaborator performed the cleaning of the ditch 3570, 0.50 cm deep, removing the pipe of 2 ""HDPE material with an estimated weight of 30 Kg. Together with two collaborators, when pushing the tube to drain the dune, the collaborator is hit on the lower right side lip producing a slight blow to the lip. At the time of the event, the collaborator had a safety helmet, glasses and gloves.",perform cleaning ditch deep remove pipe hope material estimate weight push tube drain dune low right produce slight blow time event safety helmet glass glove,73,25
147,2016-06-04,Country_01,Local_04,Mining,V,V,Male,Third Party,Others,"Being 01:50 p.m. approximately, in the Nv. 1800, in the Tecnomin winery. Mr. Chagua - Bodeguero was alone, cutting wires No. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. Originating traumatic amputation of two fingers of the left hand",mr chara bodeguero wire grinder previously remove protection guard disk inch diameter adapt disk inch traumatic amputation finger leave hand,61,20
148,2016-06-03,Country_03,Local_10,Others,II,II,Male,Third Party,Others,"During the field trip, on LT 01 of the Lajes target, Junior da Costa official stepped on a wooden stump that was on the ground, approximately 5 cm, which pierced his boot wounding the sole of the right foot. At the time of the accident, the employee was using all the PPE required for the activity and had his hands free. The employee was taken to the hospital, where he went through medical care, and was released to return to his activities the next day of work.",field trip lake target junior official step wooden stump ground pierce boot wound sole right foot time accident employee require activity hand free employee take hospital medical care release return activity work,87,32
149,2016-06-05,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"at level 2900, during the ore hauling activity with locomotive from the OP2 to the bines, at times when the convoy was traveling through the hopper of the OP1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the HDP pipeline in the gable the work at 1.65 meters from the floor. At the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. At the time of the accident the Split set only accompanied the movement path of the convoy.",level haul activity locomotive line times convoy travel hopper assistant motorist ride saddle hold pole strike weakly split suspend pipeline gable work meter floor time accident assistant wear safety equipment wear seatbelt time accident split movement path convoy,102,38
150,2016-06-05,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated.",employee work management suffer confusion right suffer slip height step staircase code abb furnace ladder refer medical service treat,52,19
151,2016-06-08,Country_01,Local_04,Mining,I,III,Male,Third Party,Others,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",time worker technician bolted want pass hand stack cardinal technician pull hydraulic push nail equipment reach trench tie team turn forward fall technician,56,23
152,2016-06-07,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",employee connection electric cable jumbo operator feel discomfort face clean hand rubber glove generate liberation small wound leave cheekbone,43,19
153,2016-06-07,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"In phase III of the concentrator plant, the maintenance personnel carried out the removal of transmission belt from the flotation cell of Pb cleaning; at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor, leaving his foot between the two pipes generating the lesion described. The work was carried out at the floor level and at the time of the accident, the staff had put on their safety equipment.",phase plant personnel carry removal belt flotation cell cleaning moment mechanic remove belt lean leave slide grating floor leave foot pipe generating lesion describe work carry floor level time accident staff safety equipment,79,33
154,2016-06-08,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level),At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.,operator eustaquio fall metal platform give access tank strong acid teaching stage suffer luxo fracture wrist leave lean floor hand operator direct tank strong acid teaching stage verify entry spend tique,67,31
155,2016-06-08,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",project vacant carry sediment collection current south mata target drainage terra carrot team compose member company r alejandro jehovanio move collection point inside shallow drainage bee carbon reaction away quickly possible avoid sting meter look safe area exit radius attack s bruno attack suffer sting belly jehovah hand verify type allergic reaction return normal activity,129,55
156,2016-06-08,Country_03,Local_10,Others,I,I,Male,Third Party,Others,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",project vacant carry sediment collection current south mata target drainage terra carrot team compose member company r alejandro jehovanio move collection point inside shallow drainage bee carbon reaction away quickly possible avoid sting meter look safe area exit radius attack s bruno attack suffer sting belly jehovah hand verify type allergic reaction return normal activity,129,55
157,2016-06-10,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg.",employee report work near stone blade equipment collide piece metal project cause injury leave leg,36,15
158,2016-06-13,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"Once the mooring of the faneles in the detonating cord has been completed, the injured person proceeds to tie the detonating cord in the safety guide (slow wick) at a distance of 2.0 meters from the top of the work. At that moment, to finish mooring, a rock bank (30cm x 50cm x 15cm; 67.5 Kg.) the same front, from a height of 1.60 meters, which falls to the floor very close to the injured, disintegrates in several fragments, one of which (12cmx10cmx3cm, 2.0 Kg.) slides between the fragments of rock and impacts with the left leg of the victim. At the time of the accident the operator used his safety boots and was accompanied by a supervisor.",mooring panel donate cord complete injure person proceed donate cord safety guide slow wick distance meter work moment finish mooring rock bank fall floor close injure fragment slide fragment rock impact leave victim time accident operator safety boot supervisor,118,39
159,2016-06-16,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"During the activity of construction of wall stopper with mortar blocks to improve ventilation in the intermediate zone; in moments that the bricklayer assistant was preparing to complete the construction of the 3.05m high wall, part of the wall - 12 blocks; 1.5 Kg per block - fall towards the scaffold, so the mason assistant jumps towards an accumulation of sand located on one side to avoid being hit by the blocks, during the fall the injury described occurs. At the time of the accident the mason assistant jumps from a height of 1.40 m from the floor of the work and used his personal safety equipment which reduced the impact of the fall.",activity wall stopper mortar block improve zone moment assistant prepare complete high wall wall block block fall scaffold assistant jump sand locate avoid block fall injury describe occur time accident mason assistant jump height floor work personal safety equipment reduce impact fall,114,42
160,2016-06-16,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The Geologo and the auxiliary Elismar traveled to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to the Aripuanã area, they stopped and got out of the vehicle to see the point identified in the GPS, Renato, when distancing himself about seven meters from the vehicle following the road, was surprised by four bites of thorns on his face and neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction.",geology auxiliary elismar travel evaluate geological point follow near drainage follow state highway give access marijuana area stop vehicle point identify senate distancing vehicle follow road surprised bite thorn face neck quickly hurried vehicle move away place clerk wear girdle goggle wear glove enter forest area allergic reaction,108,48
161,2016-06-16,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Geologist and auxiliary Ademir traveled to the field to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to Aripuanã area, stopped and got out of the vehicle to see the point identified in the GPS, Mário, when distancing himself about five meters from the vehicle following the road, was surprised by two bites of thorns on his face. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction.",geologist auxiliary field evaluate geological point follow near drainage follow state highway give access marijuana area stop vehicle point identify mario distancing meter vehicle follow road surprised bite thorn face quickly hurried vehicle move away place clerk wear girdle goggle wear glove enter forest area allergic reaction,105,47
162,2016-06-16,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The Safety and Technical moved to the field for inspection activity, on the way to the field, paused together with the other two teams in order to know the drainage points to be checked, the Safety at getting out of the vehicle, was struck by a sting of a weed in his neck, quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place. The clerk was wearing leggings and glasses. There was no allergic reaction.",safety technical move field inspection activity field pause team order know drainage point check safety vehicle strike sting weed neck quickly return vehicle radio team distance place clerk wear glass allergic reaction,85,32
163,2016-06-16,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Auxiliary and Geologist traveled to the field to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to Aripuanã area, stopped and got out of the vehicle to see the point identified in the GPS, Ademir, distancing himself about five meters from the vehicle, accompanied by the geologist Mario, was surprised by two bites of blows on his neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction.",auxiliary travel field evaluate geological point follow near drainage follow state highway give access marijuana area stop vehicle point identify admin distancing meter vehicle geologist mario surprise bite blow neck quickly hurried vehicle move away place clerk wear girdle goggle wear glove enter forest area allergic reaction,105,47
164,2016-06-18,Country_03,Local_10,Others,I,I,Male,Employee,Bees,"While traveling in the field in order to make geological mapping, the geologist Manoel who was accompanied by the prospector Marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. There was no allergic reaction and activities followed normally after the event.",travel field order geological mapping geologist manuel prospector stop deviate vegetation time receive whistling sting face neck allergic reaction activity follow normally event,57,23
165,2016-06-18,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"When moving in the field to make geological mapping, the prospector Marcos who was accompanied by the geologist Manoel stooped to deviate from the vegetation, at that moment, received a whistling sting in the ring finger of his right hand. There was no allergic reaction and activities followed normally after the event.",move field geological mapping prospector manuel stop deviate vegetation moment receive whistle sting ring finger right hand allergic reaction activity follow normally event,52,23
166,2016-06-17,Country_02,Local_08,Metals,IV,V,Male,Employee,"
Not applicable","At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",operator paulo operator filter inform autoclave operator radio leak scrub autoclave feed stop control official george senate initiate procedure close autoclave transfer valve flash soon break chicken project pulp reach employee inside room near equipment,76,35
169,2016-06-19,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",operator scissor leave equipment park level electrical problem personnel arrive climb control platform equipment perform hydraulic system confirm problem mechanic decide perform test diesel system moment activate body movement lever cause drill downward generate left hand attrition support pivot tube generating lesion describe time accident control platform mechanic ground level observe pressure diesel system pressure gauge,125,56
